model,runtime,class,precision,recall,f1_score,support
squeezenet_96x96_full_epochs_with_unknown,keras,early_blight_leaf,0.99,0.94,0.96,596.0
squeezenet_96x96_full_epochs_with_unknown,tflite_standard,early_blight_leaf,0.99,0.93,0.96,596.0
squeezenet_96x96_full_epochs_with_unknown,tflite_quantized,early_blight_leaf,0.98,0.75,0.85,596.0
squeezenet_96x96_full_epochs_with_unknown,keras,healthy_leaf,0.99,1.0,1.0,600.0
squeezenet_96x96_full_epochs_with_unknown,tflite_standard,healthy_leaf,0.99,1.0,0.99,600.0
squeezenet_96x96_full_epochs_with_unknown,tflite_quantized,healthy_leaf,0.97,0.84,0.9,600.0
squeezenet_96x96_full_epochs_with_unknown,keras,late_blight_leaf,0.98,0.97,0.97,599.0
squeezenet_96x96_full_epochs_with_unknown,tflite_standard,late_blight_leaf,0.98,0.97,0.98,599.0
squeezenet_96x96_full_epochs_with_unknown,tflite_quantized,late_blight_leaf,0.77,0.95,0.85,599.0
squeezenet_96x96_full_epochs_with_unknown,keras,septoria_leaf,0.93,1.0,0.96,584.0
squeezenet_96x96_full_epochs_with_unknown,tflite_standard,septoria_leaf,0.93,0.99,0.96,584.0
squeezenet_96x96_full_epochs_with_unknown,tflite_quantized,septoria_leaf,0.85,0.95,0.9,584.0
squeezenet_96x96_full_epochs_with_unknown,keras,unknown,1.0,1.0,1.0,573.0
squeezenet_96x96_full_epochs_with_unknown,tflite_standard,unknown,1.0,1.0,1.0,573.0
squeezenet_96x96_full_epochs_with_unknown,tflite_quantized,unknown,0.98,1.0,0.99,573.0
mobilenetv2_96x96_full_epochs_with_unknown,keras,early_blight_leaf,0.98,0.86,0.92,596.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_standard,early_blight_leaf,0.99,0.86,0.92,596.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_quantized,early_blight_leaf,0.97,0.73,0.83,596.0
mobilenetv2_96x96_full_epochs_with_unknown,keras,healthy_leaf,0.98,1.0,0.99,600.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_standard,healthy_leaf,0.96,1.0,0.98,600.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_quantized,healthy_leaf,0.95,0.91,0.93,600.0
mobilenetv2_96x96_full_epochs_with_unknown,keras,late_blight_leaf,0.96,0.96,0.96,599.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_standard,late_blight_leaf,0.96,0.96,0.96,599.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_quantized,late_blight_leaf,0.79,0.95,0.87,599.0
mobilenetv2_96x96_full_epochs_with_unknown,keras,septoria_leaf,0.88,0.98,0.92,584.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_standard,septoria_leaf,0.89,0.97,0.93,584.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_quantized,septoria_leaf,0.86,0.92,0.89,584.0
mobilenetv2_96x96_full_epochs_with_unknown,keras,unknown,1.0,1.0,1.0,573.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_standard,unknown,1.0,1.0,1.0,573.0
mobilenetv2_96x96_full_epochs_with_unknown,tflite_quantized,unknown,1.0,1.0,1.0,573.0
mobilenetv2_efficientnet_style_96x96,keras,early_blight_leaf,,,,
mobilenetv2_efficientnet_style_96x96,tflite_standard,early_blight_leaf,1.0,0.87,0.93,596.0
mobilenetv2_efficientnet_style_96x96,tflite_quantized,early_blight_leaf,0.96,0.74,0.84,596.0
mobilenetv2_efficientnet_style_96x96,keras,healthy_leaf,,,,
mobilenetv2_efficientnet_style_96x96,tflite_standard,healthy_leaf,0.96,1.0,0.98,600.0
mobilenetv2_efficientnet_style_96x96,tflite_quantized,healthy_leaf,0.94,0.91,0.93,600.0
mobilenetv2_efficientnet_style_96x96,keras,late_blight_leaf,,,,
mobilenetv2_efficientnet_style_96x96,tflite_standard,late_blight_leaf,0.98,0.97,0.98,599.0
mobilenetv2_efficientnet_style_96x96,tflite_quantized,late_blight_leaf,0.8,0.93,0.86,599.0
mobilenetv2_efficientnet_style_96x96,keras,septoria_leaf,,,,
mobilenetv2_efficientnet_style_96x96,tflite_standard,septoria_leaf,0.9,0.99,0.94,584.0
mobilenetv2_efficientnet_style_96x96,tflite_quantized,septoria_leaf,0.87,0.93,0.9,584.0
mobilenetv2_efficientnet_style_96x96,keras,unknown,,,,
mobilenetv2_efficientnet_style_96x96,tflite_standard,unknown,1.0,1.0,1.0,573.0
mobilenetv2_efficientnet_style_96x96,tflite_quantized,unknown,0.98,1.0,0.99,573.0
