filename,true_class,predicted_class,correct
early_blight_leaf\Eb1.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb10.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb100.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb101.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb105.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb106.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb107.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb109.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb11.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb110.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb112.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb113.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb114.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb115.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb116.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb118.npy,early_blight_leaf,healthy_leaf,False
early_blight_leaf\Eb12.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb120.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb122.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb123.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb124.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb125.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb126.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb129.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb13.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb130.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb132.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb133.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb135.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb136.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb138.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb139.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb140.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb141.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb142.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb143.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb149.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb15.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb150.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb151.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb152.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb154.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb157.npy,early_blight_leaf,healthy_leaf,False
early_blight_leaf\Eb158.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb159.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb16.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb162.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb163.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb165.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb166.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb167.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb168.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb173.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb174.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb175.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb177.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb178.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb179.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb18.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb184.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb186.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb190.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb191.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb192.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb193.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb194.npy,early_blight_leaf,healthy_leaf,False
early_blight_leaf\Eb195.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb196.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb197.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb198.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb199.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb200.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb201.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb202.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb205.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb206.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb208.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb209.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb21.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb211.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb213.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb214.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb215.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb216.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb218.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb219.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb22.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb222.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb223.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb225.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb227.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb228.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb229.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb23.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb231.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb232.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb235.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb236.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb237.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb238.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb239.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb242.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb245.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb246.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb247.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb248.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb251.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb254.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb256.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb26.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb261.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb262.npy,early_blight_leaf,healthy_leaf,False
early_blight_leaf\Eb263.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb264.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb265.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb266.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb267.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb27.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb270.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb271.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb272.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb274.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb276.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb278.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb28.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb280.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb281.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb284.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb285.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb287.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb289.npy,early_blight_leaf,septoria_leaf,False
early_blight_leaf\Eb29.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb297.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb298.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb299.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb30.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb300.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb301.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb304.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb306.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb308.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb31.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb310.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb312.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb314.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb315.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb316.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb317.npy,early_blight_leaf,late_blight_leaf,False
early_blight_leaf\Eb318.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb320.npy,early_blight_leaf,early_blight_leaf,True
early_blight_leaf\Eb322.npy,early_blight_leaf,early_blight_leaf,True
